short_name,nationality_name,club_name,macro_pos,perfil,cluster,overall,age,score_impacto,rank_global
M. George,Costa Rica,FC Lausanne-Sport,FWD,Pivote / Referencia,2,68,27,71.68,591
E. Mera,Ecuador,Independiente del Valle,MID,Mediocampista Ofensivo,2,71,36,71.65,592
J. Wind,Denmark,F.C. København,FWD,Pivote / Referencia,2,72,22,71.63,593
Choi Young Joon,Korea Republic,Jeonbuk Hyundai Motors,MID,Mediocampista Defensivo,3,71,29,71.63,594
M. Estrada,Ecuador,Deportivo Toluca,FWD,Pivote / Referencia,2,70,25,71.58,595
Go Yo Han,Korea Republic,FC Seoul,MID,Mediocampista Defensivo,3,71,33,71.53,596
K. Świderski,Poland,PAOK,FWD,Pivote / Referencia,2,73,24,71.42,597
C. Bassogog,Cameroon,Shanghai Shenhua FC,FWD,Pivote / Referencia,2,72,25,71.42,598
J. Lössl,Denmark,FC Midtjylland,GK,Portero de Reserva,2,72,32,71.34,599
J. Cascante,Costa Rica,Austin FC,DEF,Defensa Central Físico,3,67,27,71.32,600
L. León,Ecuador,Barcelona Sporting Club,DEF,Defensa Central Físico,3,71,28,71.31,601
J. Mora,Costa Rica,D.C. United,DEF,Lateral Ofensivo,2,69,28,71.29,602
P. Ortíz,Ecuador,CS Emelec,GK,Portero de Reserva,2,71,31,71.29,603
M. Hongla,Cameroon,Hellas Verona,MID,Mediocampista Defensivo,3,73,23,71.27,604
Y. Nagatomo,Japan,FC Tokyo,DEF,Lateral Ofensivo,2,73,34,71.15,605
M. Pouraliganji,Iran,Shenzhen FC,DEF,Defensa Central Físico,3,69,29,71.08,606
A. Olsen,Denmark,Bologna,MID,Mediocampista Ofensivo,2,72,21,71.06,607
A. Masina,Morocco,Watford,DEF,Defensa Central Físico,3,74,27,71.04,608
M. Jensen,Denmark,Brentford,MID,Mediocampista Defensivo,3,74,25,71.02,609
C. Ekuban,Ghana,Genoa,MID,Mediocampista Ofensivo,2,75,27,70.99,610
M. Klich,Poland,Leeds United,MID,Mediocampista Defensivo,3,75,31,70.96,611
J. Dudziak,Tunisia,SpVgg Greuther Fürth,MID,Mediocampista Defensivo,3,72,25,70.92,612
A. Hrustić,Australia,Eintracht Frankfurt,MID,Mediocampista Ofensivo,2,70,24,70.91,613
S. Thioub,Senegal,Angers SCO,MID,Mediocampista Ofensivo,2,73,26,70.82,614
C. Elder,Australia,Hull City,DEF,Lateral Ofensivo,2,69,26,70.8,615
R. Norrington-Davies,Wales,Sheffield United,DEF,Lateral Ofensivo,2,68,22,70.8,616
M. Mohebi,Iran,Santa Clara,FWD,Extremo / Delantero Dinámico,3,67,23,70.73,617
S. Lukić,Serbia,Torino F.C.,MID,Mediocampista Defensivo,3,75,24,70.71,618
S. Ghoddos,Iran,Brentford,MID,Mediocampista Ofensivo,2,70,27,70.69,619
M. James,Canada,Vejle Boldklub,DEF,Defensa Central Físico,3,66,27,70.67,620
J. Léa Siliki,Cameroon,Middlesbrough,MID,Mediocampista Defensivo,3,71,25,70.65,621
J. Cifuentes,Ecuador,Los Angeles FC,MID,Mediocampista Defensivo,3,71,22,70.51,622
S. Al Faraj,Saudi Arabia,Al Hilal,MID,Mediocampista Defensivo,3,73,31,70.48,623
N. Boilesen,Denmark,F.C. København,DEF,Lateral Ofensivo,2,72,29,70.37,624
J. Williams,Wales,Swindon Town,MID,Mediocampista Ofensivo,2,67,27,70.36,625
B. Tetteh,Ghana,Yeni Malatyaspor,FWD,Pivote / Referencia,2,72,23,70.28,626
K. Kozłowski,Poland,Pogoń Szczecin,MID,Mediocampista Ofensivo,2,68,17,70.26,627
M. Hawsawi,Saudi Arabia,Al Ahli,DEF,Defensa Central Físico,3,67,29,70.25,628
M. Kanno,Saudi Arabia,Al Hilal,MID,Mediocampista Defensivo,3,70,26,69.99,629
M. Kudus,Ghana,Ajax,MID,Mediocampista Defensivo,3,77,20,69.93,630
N. Williams,Wales,Liverpool,DEF,Lateral Ofensivo,2,68,20,69.81,631
A. Alipour,Iran,Clube Sport Marítimo,FWD,Pivote / Referencia,2,66,25,69.75,632
A. Davies,Wales,Stoke City,GK,Portero de Reserva,2,71,28,69.71,633
G. Til,Netherlands,Feyenoord,MID,Mediocampista Defensivo,3,73,23,69.68,634
E. Ampadu,Wales,Venezia FC,DEF,Defensa Central Físico,3,68,20,69.68,635
T. Ream,United States,Fulham,DEF,Defensa Central Físico,3,69,33,69.63,636
J. Sargent,United States,Norwich City,FWD,Pivote / Referencia,2,71,21,69.6,637
J. Osorio,Canada,Toronto FC,MID,Mediocampista Defensivo,3,72,29,69.6,638
O. Haddadi,Tunisia,Yeni Malatyaspor,DEF,Lateral Ofensivo,2,68,29,69.6,639
Ki Sung Yueng,Korea Republic,FC Seoul,MID,Mediocampista Defensivo,3,73,32,69.58,640
S. Muwashar,Saudi Arabia,Al Ahli,MID,Mediocampista Ofensivo,2,68,32,69.49,641
J. Irvine,Australia,FC St. Pauli,MID,Mediocampista Defensivo,3,68,28,69.42,642
J. Morrell,Wales,Portsmouth,MID,Mediocampista Ofensivo,2,66,24,69.42,643
Yoon Bit Garam,Korea Republic,Ulsan Hyundai FC,MID,Mediocampista Defensivo,3,73,31,69.41,644
E. Horvath,United States,Nottingham Forest,GK,Portero de Reserva,2,71,26,69.38,645
H. Kadish,Saudi Arabia,Al Taawoun,DEF,Lateral Ofensivo,2,67,28,69.32,646
L. Díaz,Costa Rica,Columbus Crew,MID,Mediocampista Ofensivo,2,69,22,69.24,647
A. Beiranvand,Iran,Boavista FC,GK,Portero de Reserva,2,70,28,69.21,648
J. Moder,Poland,Brighton & Hove Albion,MID,Mediocampista Defensivo,3,70,22,69.09,649
Y. Musah,United States,Valencia CF,MID,Mediocampista Ofensivo,2,71,18,69.07,650
M. Al Owais,Saudi Arabia,Al Ahli,GK,Portero de Reserva,2,70,29,68.98,651
A. Aseri,Saudi Arabia,Al Nassr,MID,Mediocampista Ofensivo,2,67,27,68.75,652
A. Sharahili,Saudi Arabia,Al Shabab,DEF,Lateral Ofensivo,2,68,27,68.57,653
M. Boyle,Australia,Hibernian,MID,Mediocampista Ofensivo,2,71,28,68.47,654
M. Hosseini,Iran,Yukatel Kayserispor,DEF,Defensa Central Físico,3,67,25,68.38,655
Y. Belhanda,Morocco,Adana Demirspor,MID,Mediocampista Defensivo,3,74,31,68.37,656
S. Makani,Iran,Mjøndalen IF,GK,Portero de Reserva,2,68,34,68.33,657
S. Beitashour,Iran,Colorado Rapids,DEF,Lateral Ofensivo,2,68,34,68.3,658
K. Jóźwiak,Poland,Derby County,MID,Mediocampista Ofensivo,2,70,23,68.28,659
M. Naderi,Iran,Altay SK,DEF,Defensa Central Físico,3,65,24,68.28,660
Lee Jae Sung,Korea Republic,1. FSV Mainz 05,MID,Mediocampista Defensivo,3,75,28,68.19,661
S. Ezatolahi,Iran,Vejle Boldklub,MID,Mediocampista Defensivo,3,67,24,68.16,662
A. Al Mayoof,Saudi Arabia,Al Hilal,GK,Portero de Reserva,2,68,34,68.1,663
S. Niazmand,Iran,Portimonense SC,GK,Portero de Reserva,2,68,26,67.8,664
L. Thomas,Australia,SønderjyskE,GK,Portero de Reserva,2,69,29,67.53,665
S. Khelifi,Tunisia,FC Zürich,MID,Mediocampista Ofensivo,2,65,27,67.32,666
K. Dougall,Australia,Blackpool,MID,Mediocampista Defensivo,3,67,28,67.18,667
S. Lletget,United States,LA Galaxy,MID,Mediocampista Defensivo,3,72,28,67.06,668
F. Brown Forbes,Costa Rica,Wisła Kraków,FWD,Pivote / Referencia,2,65,29,67.04,669
U. Segura,Costa Rica,Austin FC,MID,Mediocampista Ofensivo,2,66,28,66.72,670
S. Chabbi,Tunisia,SV Ried,FWD,Pivote / Referencia,2,66,27,66.7,671
M. Loría,Costa Rica,Portland Timbers,MID,Mediocampista Ofensivo,2,66,24,66.66,672
W. Francis,Costa Rica,Columbus Crew,DEF,Lateral Ofensivo,2,66,30,66.6,673
M. Ugalde,Costa Rica,FC Twente,FWD,Pivote / Referencia,2,65,19,66.38,674
D. Levitt,Wales,Dundee United,MID,Mediocampista Ofensivo,2,63,20,66.28,675
B. Oviedo,Costa Rica,F.C. København,DEF,Lateral Ofensivo,2,65,31,66.24,676
M. Gouaida,Tunisia,SV Waldhof Mannheim 07,MID,Mediocampista Ofensivo,2,63,28,65.68,677
A. Ateef,Saudi Arabia,Al Hilal,MID,Mediocampista Defensivo,3,71,28,65.65,678
A. Slimane,Tunisia,Brøndby IF,MID,Mediocampista Ofensivo,2,65,20,65.42,679
A. Cruz,Costa Rica,FC Cincinnati,MID,Mediocampista Ofensivo,2,64,25,65.39,680
C. Gunter,Wales,Charlton Athletic,DEF,Lateral Ofensivo,2,64,31,64.59,681
C. Ben Saada,Tunisia,SC Bastia,MID,Mediocampista Ofensivo,2,63,37,64.56,682
I. Jebali,Tunisia,Odense Boldklub,FWD,Pivote / Referencia,2,66,29,64.29,683
D. Wotherspoon,Canada,St. Johnstone FC,FWD,Pivote / Referencia,2,69,31,64.25,684
M. Ben Ouanes,Tunisia,Kasimpaşa SK,DEF,Lateral Ofensivo,2,63,26,63.98,685
J. Leutwiler,Canada,Oldham Athletic,GK,Portero de Reserva,2,64,32,63.89,686
A. Karimi,Iran,Yukatel Kayserispor,MID,Mediocampista Ofensivo,2,64,27,63.73,687
W. Kechrida,Tunisia,US Salernitana 1919,DEF,Lateral Ofensivo,2,64,25,63.68,688
H. Mejbri,Tunisia,Manchester United,MID,Mediocampista Ofensivo,2,62,18,63.47,689
A. Lassiter,Costa Rica,Houston Dynamo,MID,Mediocampista Ofensivo,2,62,26,62.96,690
I. Basafa,Iran,Bengaluru FC,MID,Mediocampista Defensivo,3,62,29,62.11,691
M. Lamti,Tunisia,Hannover 96,MID,Mediocampista Defensivo,3,62,20,61.72,692
A. Mabil,Australia,FC Midtjylland,FWD,Pivote / Referencia,2,69,25,61.52,693
N. Zalewski,Poland,Roma,MID,Mediocampista Ofensivo,2,63,19,61.06,694
M. Ureña,Costa Rica,Central Coast Mariners,FWD,Pivote / Referencia,2,66,31,58.15,695
D. Vega,Costa Rica,Sandefjord Fotball,FWD,Pivote / Referencia,2,62,28,49.99,696
